Time,Displacement(mm),Load(N),L (mm),b (mm),h (mm)
0,0,0,37.75,12.7,3.23
16,0,1.121,37.75,12.7,3.23
208,-0.025,1.263,37.75,12.7,3.23
399,-0.025,1.655,37.75,12.7,3.23
591,-0.051,1.864,37.75,12.7,3.23
798,-0.051,2.228,37.75,12.7,3.23
1006,-0.076,2.718,37.75,12.7,3.23
1213,-0.102,3.051,37.75,12.7,3.23
1421,-0.102,3.647,37.75,12.7,3.23
1628,-0.127,4.159,37.75,12.7,3.23
1836,-0.152,4.613,37.75,12.7,3.23
2043,-0.152,5.373,37.75,12.7,3.23
2251,-0.178,5.885,37.75,12.7,3.23
2458,-0.203,6.556,37.75,12.7,3.23
2666,-0.203,7.117,37.75,12.7,3.23
2873,-0.229,7.748,37.75,12.7,3.23
3081,-0.254,8.247,37.75,12.7,3.23
3288,-0.254,8.896,37.75,12.7,3.23
3496,-0.279,9.43,37.75,12.7,3.23
3703,-0.305,10.021,37.75,12.7,3.23
3911,-0.305,10.524,37.75,12.7,3.23
4118,-0.33,11.196,37.75,12.7,3.23
4325,-0.33,11.832,37.75,12.7,3.23
4533,-0.356,12.245,37.75,12.7,3.23
4741,-0.381,12.913,37.75,12.7,3.23
4948,-0.381,13.464,37.75,12.7,3.23
5156,-0.406,14.051,37.75,12.7,3.23
5363,-0.432,14.687,37.75,12.7,3.23
5571,-0.432,15.141,37.75,12.7,3.23
5778,-0.457,15.635,37.75,12.7,3.23
5986,-0.483,16.493,37.75,12.7,3.23
6193,-0.483,16.676,37.75,12.7,3.23
6401,-0.508,17.352,37.75,12.7,3.23
6608,-0.533,17.716,37.75,12.7,3.23
6816,-0.533,18.255,37.75,12.7,3.23
7023,-0.559,18.922,37.75,12.7,3.23
7230,-0.584,19.375,37.75,12.7,3.23
7438,-0.584,19.923,37.75,12.7,3.23
7646,-0.61,20.47,37.75,12.7,3.23
7854,-0.635,20.874,37.75,12.7,3.23
8061,-0.635,21.417,37.75,12.7,3.23
8269,-0.66,22.04,37.75,12.7,3.23
8476,-0.66,22.356,37.75,12.7,3.23
8684,-0.686,22.863,37.75,12.7,3.23
8892,-0.711,23.405,37.75,12.7,3.23
9099,-0.711,23.89,37.75,12.7,3.23
9307,-0.737,24.295,37.75,12.7,3.23
9514,-0.762,24.851,37.75,12.7,3.23
9722,-0.762,25.336,37.75,12.7,3.23
9929,-0.787,25.834,37.75,12.7,3.23
10137,-0.813,26.248,37.75,12.7,3.23
10344,-0.813,26.826,37.75,12.7,3.23
10552,-0.838,27.115,37.75,12.7,3.23
10760,-0.838,27.653,37.75,12.7,3.23
10967,-0.864,28.316,37.75,12.7,3.23
11175,-0.889,28.596,37.75,12.7,3.23
11383,-0.889,29.037,37.75,12.7,3.23
11591,-0.914,29.619,37.75,12.7,3.23
11799,-0.94,29.828,37.75,12.7,3.23
12006,-0.94,30.402,37.75,12.7,3.23
12214,-0.965,30.985,37.75,12.7,3.23
12421,-0.991,31.167,37.75,12.7,3.23
12629,-0.991,31.705,37.75,12.7,3.23
12837,-1.016,32.341,37.75,12.7,3.23
13044,-1.041,32.395,37.75,12.7,3.23
13251,-1.041,32.929,37.75,12.7,3.23
13459,-1.067,33.293,37.75,12.7,3.23
13666,-1.067,33.689,37.75,12.7,3.23
13874,-1.092,34.187,37.75,12.7,3.23
14081,-1.118,34.637,37.75,12.7,3.23
14289,-1.118,34.961,37.75,12.7,3.23
14496,-1.143,35.499,37.75,12.7,3.23
14704,-1.168,35.904,37.75,12.7,3.23
14911,-1.168,36.18,37.75,12.7,3.23
15119,-1.194,36.714,37.75,12.7,3.23
15326,-1.219,37.079,37.75,12.7,3.23
15534,-1.219,37.483,37.75,12.7,3.23
15741,-1.245,37.812,37.75,12.7,3.23
15949,-1.27,38.297,37.75,12.7,3.23
16156,-1.27,38.649,37.75,12.7,3.23
16364,-1.295,39.071,37.75,12.7,3.23
16571,-1.295,39.467,37.75,12.7,3.23
16779,-1.321,39.885,37.75,12.7,3.23
16986,-1.346,40.197,37.75,12.7,3.23
17194,-1.346,40.557,37.75,12.7,3.23
17401,-1.372,40.966,37.75,12.7,3.23
17609,-1.397,41.415,37.75,12.7,3.23
17816,-1.397,41.722,37.75,12.7,3.23
18024,-1.422,41.976,37.75,12.7,3.23
18231,-1.448,42.421,37.75,12.7,3.23
18439,-1.448,42.972,37.75,12.7,3.23
18646,-1.473,43.057,37.75,12.7,3.23
18854,-1.499,43.55,37.75,12.7,3.23
19061,-1.499,43.924,37.75,12.7,3.23
19268,-1.524,44.142,37.75,12.7,3.23
19476,-1.549,44.605,37.75,12.7,3.23
19683,-1.549,44.805,37.75,12.7,3.23
19891,-1.575,45.152,37.75,12.7,3.23
20098,-1.575,45.677,37.75,12.7,3.23
20306,-1.6,46.081,37.75,12.7,3.23
20513,-1.626,46.366,37.75,12.7,3.23
20721,-1.626,46.637,37.75,12.7,3.23
20928,-1.651,46.971,37.75,12.7,3.23
21136,-1.676,47.282,37.75,12.7,3.23
21343,-1.676,47.674,37.75,12.7,3.23
21551,-1.702,47.878,37.75,12.7,3.23
21758,-1.727,48.283,37.75,12.7,3.23
21966,-1.727,48.772,37.75,12.7,3.23
22173,-1.753,48.968,37.75,12.7,3.23
22381,-1.778,49.186,37.75,12.7,3.23
22588,-1.778,49.68,37.75,12.7,3.23
22796,-1.803,49.92,37.75,12.7,3.23
23003,-1.829,50.32,37.75,12.7,3.23
23211,-1.829,50.552,37.75,12.7,3.23
23418,-1.854,50.787,37.75,12.7,3.23
23626,-1.854,51.241,37.75,12.7,3.23
23834,-1.88,51.543,37.75,12.7,3.23
24041,-1.905,51.699,37.75,12.7,3.23
24248,-1.905,52.068,37.75,12.7,3.23
24456,-1.93,52.46,37.75,12.7,3.23
24663,-1.956,52.824,37.75,12.7,3.23
24871,-1.956,52.971,37.75,12.7,3.23
25078,-1.981,53.509,37.75,12.7,3.23
25286,-2.007,53.741,37.75,12.7,3.23
25493,-2.007,54.008,37.75,12.7,3.23
25701,-2.032,54.444,37.75,12.7,3.23
25908,-2.057,54.355,37.75,12.7,3.23
26116,-2.057,54.635,37.75,12.7,3.23
26323,-2.083,55.16,37.75,12.7,3.23
26531,-2.108,55.355,37.75,12.7,3.23
26738,-2.108,55.72,37.75,12.7,3.23
26946,-2.134,56.116,37.75,12.7,3.23
27153,-2.134,56.214,37.75,12.7,3.23
27360,-2.159,56.627,37.75,12.7,3.23
27568,-2.184,57.077,37.75,12.7,3.23
27776,-2.184,57.139,37.75,12.7,3.23
27983,-2.21,57.553,37.75,12.7,3.23
28191,-2.235,57.855,37.75,12.7,3.23
28398,-2.235,57.833,37.75,12.7,3.23
28606,-2.261,58.287,37.75,12.7,3.23
28814,-2.286,58.562,37.75,12.7,3.23
29022,-2.286,58.798,37.75,12.7,3.23
29229,-2.311,59.158,37.75,12.7,3.23
29437,-2.337,59.301,37.75,12.7,3.23
29644,-2.337,59.701,37.75,12.7,3.23
29851,-2.362,59.937,37.75,12.7,3.23
30059,-2.388,60.168,37.75,12.7,3.23
30266,-2.388,60.444,37.75,12.7,3.23
30474,-2.413,60.648,37.75,12.7,3.23
30681,-2.413,60.915,37.75,12.7,3.23
30889,-2.438,61.276,37.75,12.7,3.23
31096,-2.464,61.48,37.75,12.7,3.23
31304,-2.464,61.747,37.75,12.7,3.23
31511,-2.489,61.93,37.75,12.7,3.23
31719,-2.515,62.179,37.75,12.7,3.23
31926,-2.515,62.623,37.75,12.7,3.23
32134,-2.54,62.619,37.75,12.7,3.23
32341,-2.565,63.006,37.75,12.7,3.23
32549,-2.565,63.366,37.75,12.7,3.23
32756,-2.591,63.437,37.75,12.7,3.23
32964,-2.591,63.709,37.75,12.7,3.23
33171,-2.616,64.118,37.75,12.7,3.23
33379,-2.642,64.189,37.75,12.7,3.23
33586,-2.642,64.496,37.75,12.7,3.23
33794,-2.667,64.816,37.75,12.7,3.23
34001,-2.692,64.887,37.75,12.7,3.23
34208,-2.692,65.114,37.75,12.7,3.23
34416,-2.718,65.39,37.75,12.7,3.23
34623,-2.743,65.63,37.75,12.7,3.23
34831,-2.743,65.91,37.75,12.7,3.23
35038,-2.769,66.097,37.75,12.7,3.23
35246,-2.794,66.378,37.75,12.7,3.23
35453,-2.794,66.475,37.75,12.7,3.23
35661,-2.819,66.796,37.75,12.7,3.23
35868,-2.845,67.031,37.75,12.7,3.23
36076,-2.845,67.151,37.75,12.7,3.23
36283,-2.87,67.494,37.75,12.7,3.23
36491,-2.87,67.699,37.75,12.7,3.23
36698,-2.896,67.925,37.75,12.7,3.23
36905,-2.921,68.206,37.75,12.7,3.23
37113,-2.921,68.437,37.75,12.7,3.23
37320,-2.946,68.508,37.75,12.7,3.23
37528,-2.972,68.948,37.75,12.7,3.23
37735,-2.972,69.095,37.75,12.7,3.23
37943,-2.997,69.18,37.75,12.7,3.23
38166,-3.023,69.251,37.75,12.7,3.23
38390,-3.023,68.833,37.75,12.7,3.23
38613,-3.023,68.312,37.75,12.7,3.23
38837,-3.023,68.099,37.75,12.7,3.23
39044,-3.023,67.65,37.75,12.7,3.23
39268,-3.023,67.338,37.75,12.7,3.23
39491,-3.023,67.111,37.75,12.7,3.23
39714,-3.023,66.929,37.75,12.7,3.23
39922,-3.023,66.689,37.75,12.7,3.23
40130,-3.023,66.409,37.75,12.7,3.23
40353,-3.023,66.16,37.75,12.7,3.23
40577,-3.023,65.933,37.75,12.7,3.23
40800,-3.023,65.733,37.75,12.7,3.23
41007,-3.023,65.621,37.75,12.7,3.23
41215,-3.023,65.475,37.75,12.7,3.23
41439,-3.023,65.194,37.75,12.7,3.23
41646,-3.023,65.079,37.75,12.7,3.23
41854,-3.023,64.923,37.75,12.7,3.23
42061,-3.023,64.816,37.75,12.7,3.23
42269,-3.023,64.603,37.75,12.7,3.23
42477,-3.023,64.496,37.75,12.7,3.23
42684,-3.023,64.296,37.75,12.7,3.23
42892,-3.023,64.22,37.75,12.7,3.23
43100,-3.023,64.065,37.75,12.7,3.23
43307,-3.023,63.909,37.75,12.7,3.23
43515,-3.023,63.784,37.75,12.7,3.23
43723,-3.023,63.673,37.75,12.7,3.23
43930,-3.023,63.553,37.75,12.7,3.23
44138,-3.023,63.353,37.75,12.7,3.23
44345,-3.023,63.322,37.75,12.7,3.23
44552,-3.023,63.113,37.75,12.7,3.23
44760,-3.023,63.037,37.75,12.7,3.23
44968,-3.023,62.921,37.75,12.7,3.23
45175,-3.023,62.846,37.75,12.7,3.23
45383,-3.023,62.806,37.75,12.7,3.23
45591,-3.023,62.65,37.75,12.7,3.23
45799,-3.023,62.494,37.75,12.7,3.23
46006,-3.023,62.454,37.75,12.7,3.23
46214,-3.023,62.294,37.75,12.7,3.23
46422,-3.023,62.219,37.75,12.7,3.23
46630,-3.023,62.187,37.75,12.7,3.23
46837,-3.023,62.027,37.75,12.7,3.23
47045,-3.023,61.912,37.75,12.7,3.23
47252,-3.023,61.832,37.75,12.7,3.23
47460,-3.023,61.752,37.75,12.7,3.23
47667,-3.023,61.627,37.75,12.7,3.23
47875,-3.023,61.596,37.75,12.7,3.23
48082,-3.023,61.52,37.75,12.7,3.23
48290,-3.023,61.311,37.75,12.7,3.23
48497,-3.023,61.369,37.75,12.7,3.23
48705,-3.023,61.24,37.75,12.7,3.23
